chr,type,start,end,strand,gbkey,locus_tag,product,old_ID,Name_Conversion,Notes
CP141119.1,mRNA,218357,221750,+,mRNA,cpbgf_200940,Signal peptide plus transmembrane domain containing protein,cgd2_940,direct_name,
CP141119.1,lnc_RNA,220701,222037,-,ncRNA,cpbgf_200945,lncRNA,None,None,
CP141119.1,mRNA,222110,223990,+,mRNA,cpbgf_200950,Uncharacterized protein,cgd2_950,direct_name,
CP141119.1,mRNA,223640,225680,+,mRNA,cpbgf_200960,Uncharacterized protein,cgd2_960,direct_name,
CP141119.1,mRNA,225586,228142,-,mRNA,cpbgf_200970,Uncharacterized protein,cgd2_970,direct_name,
CP141119.1,mRNA,228221,229216,+,mRNA,cpbgf_200980,RNA polymerase Rpb5,cgd2_980,direct_name,
CP141119.1,mRNA,229292,231515,-,mRNA,cpbgf_200990,Queuine tRNA-ribosyltransferase,cgd2_990,direct_name,
CP141119.1,mRNA,231680,234026,-,mRNA,cpbgf_2001000,RNA recognition motif domain containing protein,cgd2_1000,direct_name,
CP141119.1,mRNA,234873,237567,+,mRNA,cpbgf_2001010,DEAD/DEAH box helicase,cgd2_1010,direct_name,
CP141119.1,snRNA,236192,237079,-,ncRNA,cpbgf_2001005,snRNA,None,None,
CP141119.1,mRNA,237706,239260,+,mRNA,cpbgf_2001020,Proteasome regulatory subunit Rpn9,cgd2_1020,direct_name,
CP141119.1,mRNA,239219,240447,-,mRNA,cpbgf_2001030,Mitochondrial carrier protein,cgd2_1030,direct_name,
CP141119.1,mRNA,240439,241294,-,mRNA,cpbgf_2001040,Flavohemoprotein b5 plus b5R cytochrome b-type NAD(P)H oxidoreductase,cgd2_1040,direct_name,
CP141119.1,mRNA,241531,242793,+,mRNA,cpbgf_2001050,Uncharacterized protein,cgd2_1050,direct_name,
CP141119.1,mRNA,242663,245358,-,mRNA,cpbgf_2001060,Protein kinase/EF-hand domain containing protein,cgd2_1060,direct_name,
CP141119.1,mRNA,245926,246458,+,mRNA,cpbgf_2001070,40S ribosomal protein S25,cgd2_1070,direct_name,
CP141119.1,mRNA,246521,248350,-,mRNA,cpbgf_2001080,Uncharacterized protein,cgd2_1080,direct_name,
CP141119.1,mRNA,248451,249968,-,mRNA,cpbgf_2001090,O-acyltransferase,cgd2_1090,direct_name,
CP141119.1,mRNA,249984,253264,-,mRNA,cpbgf_2001100,MCM domain containing protein,cgd2_1100,direct_name,
CP141119.1,lnc_RNA,253615,255102,-,ncRNA,cpbgf_2001105,lncRNA,None,None,
CP141119.1,mRNA,253678,255207,+,mRNA,cpbgf_2001110,Silencer-associated factor/Phospholipase D-like domain containing protein,cgd2_1110,direct_name,
CP141119.1,mRNA,255191,257119,+,mRNA,cpbgf_2001120,molybdopterin synthase sulfurylase/Rhodanese-like domain containing protein,cgd2_1120,direct_name,
CP141119.1,mRNA,256783,258870,-,mRNA,cpbgf_2001130,Uncharacterized protein,cgd2_1130,direct_name,
CP141119.1,mRNA,258974,259942,-,mRNA,cpbgf_2001140,Syntaxin,cgd2_1140,direct_name,
CP141119.1,mRNA,261141,262351,+,mRNA,cpbgf_2001150,C2H2-type Zinc finger protein,cgd2_1150,direct_name,
CP141119.1,mRNA,262369,264611,-,mRNA,cpbgf_2001160,Eukaryotic translation initiation factor 3 subunit L,cgd2_1160,direct_name,
CP141119.1,mRNA,264972,266506,+,mRNA,cpbgf_2001180,ZPR1-type Zinc finger containing protein,cgd2_1170,no_direct_name,
CP141119.1,mRNA,265425,268374,-,mRNA,cpbgf_2001190,Methylase,cgd2_1190,direct_name,
CP141119.1,lnc_RNA,268457,269509,+,ncRNA,cpbgf_2001195,lncRNA,None,None,
CP141119.1,mRNA,268621,269702,-,mRNA,cpbgf_2001200,Ubiquitin domain-containing Steroid reductase,cgd2_1200,direct_name,
CP141119.1,mRNA,269887,270748,+,mRNA,cpbgf_2001210,Phosphotransferase KptA/Tpt1,cgd2_1210,direct_name,
CP141119.1,mRNA,270757,272537,+,mRNA,cpbgf_2001220,Uncharacterized protein,cgd2_1220,direct_name,
CP141119.1,mRNA,273017,275482,+,mRNA,cpbgf_2001230,Armadillo-type fold protein,cgd2_1230,direct_name,
CP141119.1,mRNA,275559,277042,+,mRNA,cpbgf_2001240,EH domain containing protein,cgd2_1240,direct_name,
CP141119.1,mRNA,276773,279842,-,mRNA,cpbgf_2001250,MCM domain containing protein,cgd2_1250,direct_name,
CP141119.1,mRNA,280261,283006,+,mRNA,cpbgf_2001260,Uncharacterized protein,cgd2_1260,direct_name,
CP141119.1,mRNA,282717,285449,-,mRNA,cpbgf_2001270,Membrane associated adenylyl cyclase,cgd2_1270,direct_name,
CP141119.1,mRNA,285535,288141,+,mRNA,cpbgf_2001280,DDHD domain containing protein,cgd2_1280,direct_name,
CP141119.1,mRNA,287765,289100,-,mRNA,cpbgf_2001290,Uncharacterized protein,cgd2_1290,direct_name,
CP141119.1,mRNA,289189,291432,-,mRNA,cpbgf_2001300,Calcium/calmodulin dependent protein kinase,cgd2_1300,direct_name,
CP141119.1,mRNA,291731,293282,-,mRNA,cpbgf_2001310,Major facilitator superfamily domain containing protein,cgd2_1310,direct_name,
CP141119.1,mRNA,293348,295005,+,mRNA,cpbgf_2001330,DNAJ protein,cgd2_1330,direct_name,
CP141119.1,mRNA,295103,295657,+,mRNA,cpbgf_2001340,hypothetical protein,cgd2_1340,direct_name,
CP141119.1,mRNA,295656,299248,+,mRNA,cpbgf_2001350,phosphatidylinositol 3-and 4-kinase family protein,cgd2_1350,direct_name,
CP141119.1,mRNA,297751,300344,-,mRNA,cpbgf_2001360,26S proteasome subunit P45/AAA+ ATPase core domain containing protein,cgd2_1360,direct_name,
CP141119.1,mRNA,299543,301344,+,mRNA,cpbgf_2001365,ATP synthase subunit beta,cgd2_1360,no_direct_name,gene split
CP141119.1,snRNA,300583,300672,+,ncRNA,cpbgf_2001363,snRNA,None,None,
CP141119.1,mRNA,301407,304183,+,mRNA,cpbgf_2001370,WD40 repeat protein,cgd2_1370,direct_name,
CP141119.1,rRNA,304314,306061,+,rRNA,cpbgf_2001393,18S ribosomal RNA,None,None,
CP141119.1,rRNA,307205,310636,+,rRNA,cpbgf_2001395,28S ribosomal RNA,None,None,
CP141119.1,mRNA,310695,311579,-,mRNA,cpbgf_2001380,Uncharacterized protein,cgd2_1380,direct_name,
CP141119.1,mRNA,311577,312291,-,mRNA,cpbgf_2001390,Uncharacterized protein,cgd2_1390,direct_name,
CP141119.1,mRNA,312267,314186,-,mRNA,cpbgf_2001400,Uncharacterized protein,cgd2_1400,direct_name,
CP141119.1,mRNA,314233,314957,-,mRNA,cpbgf_2001410,putative domain KOG3410%2Cconserved alpha-helical protein,cgd2_1410,direct_name,
CP141119.1,mRNA,314991,315325,-,mRNA,cpbgf_2001415,hypothetical protein,cgd2_60,no_direct_name,consistency
CP141119.1,mRNA,315396,317195,+,mRNA,cpbgf_2001425,hypothetical protein,cgd2_1420,no_direct_name,gene split
CP141119.1,mRNA,315413,316315,+,mRNA,cpbgf_2001420,hypothetical protein,cgd2_1420,direct_name,
CP141119.1,mRNA,317029,318583,-,mRNA,cpbgf_2001430,Dynactin subunit p62,cgd2_1430,direct_name,
CP141119.1,mRNA,318660,319491,+,mRNA,cpbgf_2001440,Proteasome subunit alpha type,cgd2_1440,direct_name,
CP141119.1,lnc_RNA,319060,321292,-,ncRNA,cpbgf_2001455,lncRNA,None,None,
CP141119.1,mRNA,319545,321289,+,mRNA,cpbgf_2001450,hypothetical protein,cgd2_1450,direct_name,
CP141119.1,mRNA,321355,323607,+,mRNA,cpbgf_2001460,SUMO-1 activating enzyme subunit 2,cgd2_1460,direct_name,
CP141119.1,mRNA,322568,323862,-,mRNA,cpbgf_2001470,Uncharacterized protein,cgd2_1470,direct_name,
CP141119.1,mRNA,323862,326137,+,mRNA,cpbgf_2001480,Splicing factor U2AF U2 SnRNP auxiliary factor large subunit,cgd2_1480,direct_name,
CP141119.1,mRNA,325230,326231,-,mRNA,cpbgf_2001490,Uncharacterized protein,cgd2_1490,direct_name,
CP141119.1,mRNA,326587,328314,+,mRNA,cpbgf_2001500,Eukaryotic translation initiation factor 3 subunit E withPCI domain,cgd2_1500,direct_name,
CP141119.1,lnc_RNA,326764,328320,-,ncRNA,cpbgf_2001505,lncRNA,None,None,
CP141119.1,mRNA,328389,332296,+,mRNA,cpbgf_2001510,Pseudouridine synthase TruD,cgd2_1510,direct_name,
CP141119.1,mRNA,330128,332656,-,mRNA,cpbgf_2001520,Uncharacterized protein,cgd2_1520,direct_name,
CP141119.1,mRNA,332667,334093,-,mRNA,cpbgf_2001530,Nitrogen permease regulator 2,cgd2_1530,direct_name,
CP141119.1,mRNA,332704,335398,+,mRNA,cpbgf_2001540,Cell growth-regulating nucleolar protein with metal binding domain,cgd2_1540,direct_name,
CP141119.1,mRNA,334546,336247,-,mRNA,cpbgf_2001550,P-loop containing nucleoside triphosphate hydrolase,cgd2_1550,direct_name,
CP141119.1,mRNA,336258,338015,-,mRNA,cpbgf_2001560,Polyprenol kinase family,cgd2_1560,direct_name,
CP141119.1,mRNA,338076,339184,+,mRNA,cpbgf_2001570,vacuolar protein sorting/targeting protein 26,cgd2_1570,direct_name,
CP141119.1,mRNA,339067,339976,-,mRNA,cpbgf_2001580,Dual specificity phosphatase,cgd2_1580,direct_name,
CP141119.1,mRNA,340191,342584,+,mRNA,cpbgf_2001590,Apple/EGF-like/Apple domain containing extracellular protein,cgd2_1590,direct_name,
CP141119.1,mRNA,342135,344830,-,mRNA,cpbgf_2001600,MCM domain containing protein,cgd2_1600,direct_name,
CP141119.1,mRNA,345015,346777,-,mRNA,cpbgf_2001610,Protein kinase domain containing protein,cgd2_1610,direct_name,
CP141119.1,mRNA,346830,348102,+,mRNA,cpbgf_2001620,Uncharacterized protein,cgd2_1620,direct_name,
CP141119.1,mRNA,348491,349815,+,mRNA,cpbgf_2001630,Cytidine and deoxycytidylate deaminase family,cgd2_1630,direct_name,
CP141119.1,mRNA,348839,351782,-,mRNA,cpbgf_2001640,Serine/threonine-protein phosphatase,cgd2_1640,direct_name,
CP141119.1,mRNA,351967,355259,-,mRNA,cpbgf_2001660,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit,cgd2_1660,direct_name,
CP141119.1,mRNA,354085,354714,+,mRNA,cpbgf_2001650,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,cgd2_1650,direct_name,
CP141119.1,mRNA,354545,355311,+,mRNA,cpbgf_2001670,ING1 like protein with an N-terminal globular domain and a PHD domain,cgd2_1670,direct_name,
CP141119.1,mRNA,355259,356437,+,mRNA,cpbgf_2001680,Inhibitor of growth protein N-terminal histone-binding domain containing protein,cgd2_1680,direct_name,
CP141119.1,lnc_RNA,356472,357995,-,ncRNA,cpbgf_2001695,lncRNA,None,None,
CP141119.1,mRNA,356773,357772,+,mRNA,cpbgf_2001690,Uncharacterized protein,cgd2_1690,direct_name,
CP141119.1,mRNA,357933,358512,+,mRNA,cpbgf_2001700,EF-hand domain containing protein,cgd2_1700,direct_name,
CP141119.1,mRNA,358617,364129,+,mRNA,cpbgf_2001710,hypothetical protein,cgd2_1710,direct_name,
CP141119.1,mRNA,362500,364587,-,mRNA,cpbgf_2001720,Uncharacterized protein,cgd2_1720,direct_name,
CP141119.1,mRNA,364535,365761,+,mRNA,cpbgf_2001730,Uncharacterized protein,cgd2_1730,direct_name,
CP141119.1,lnc_RNA,365369,367041,-,ncRNA,cpbgf_2001735,lncRNA,None,None,
CP141119.1,mRNA,365884,368916,+,mRNA,cpbgf_2001750,SWIRM/SANT domain containing protein,cgd2_1750,direct_name,
CP141119.1,tRNA,368461,368544,+,tRNA,cpbgf_2001745,tRNA-Leu,None,None,
CP141119.1,mRNA,368578,370197,-,mRNA,cpbgf_2001755,Ring domain containing protein,cgd2_1750,no_direct_name,gene split
CP141119.1,mRNA,370235,371334,+,mRNA,cpbgf_2001760,Arf GTPase activating protein,cgd2_1760,direct_name,
CP141119.1,lnc_RNA,371165,372718,-,ncRNA,cpbgf_2001765,lncRNA,None,None,
CP141119.1,mRNA,371452,372642,+,mRNA,cpbgf_2001770,Mannose-1-phosphate guanylyltransferase,cgd2_1770,direct_name,
CP141119.1,mRNA,372837,374199,+,mRNA,cpbgf_2001780,PDI like thioredoxin domain containing protein,cgd2_1780,direct_name,
CP141119.1,mRNA,375112,378282,-,mRNA,cpbgf_2001790,Armadillo-type fold protein,cgd2_1790,direct_name,
CP141119.1,lnc_RNA,378297,379713,+,ncRNA,cpbgf_2001805,lncRNA,None,None,
CP141119.1,mRNA,378386,379585,-,mRNA,cpbgf_2001800,DnaJ domain containing protein,cgd2_1800,direct_name,
CP141119.1,mRNA,379682,380827,-,mRNA,cpbgf_2001810,Inositol monophosphatase-like protein,cgd2_1810,direct_name,
CP141119.1,mRNA,380834,381788,-,mRNA,cpbgf_2001820,RING-type Zinc finger protein,cgd2_1820,direct_name,
CP141119.1,mRNA,381881,386183,+,mRNA,cpbgf_2001840,Protein kinase domain containing protein,cgd2_1840,direct_name,
CP141119.1,mRNA,383934,385577,-,mRNA,cpbgf_2001830,signal peptide protein,cgd2_1830,direct_name,
CP141119.1,mRNA,385524,386721,-,mRNA,cpbgf_2001850,Stress-induced protein sti1-like protein with TPR repeat,cgd2_1850,direct_name,
CP141119.1,mRNA,386747,390915,+,mRNA,cpbgf_2001860,Rab-GTPase-TBC domain containing protein,cgd2_1860,direct_name,
CP141119.1,mRNA,390705,391885,-,mRNA,cpbgf_2001870,Guanine nucleotide-binding protein,cgd2_1870,direct_name,
CP141119.1,mRNA,392059,393625,+,mRNA,cpbgf_2001880,Protein kinase domain containing protein,cgd2_1880,direct_name,
CP141119.1,mRNA,393588,394928,+,mRNA,cpbgf_2001890,Uncharacterized protein,cgd2_1890,direct_name,
CP141119.1,mRNA,394206,395670,-,mRNA,cpbgf_2001900,dTDP-glucose 4-6-dehydratase-like protein,cgd2_1900,direct_name,
CP141119.1,mRNA,395831,397729,+,mRNA,cpbgf_2001910,MORN repeat,cgd2_1910,direct_name,
CP141119.1,mRNA,397766,401188,+,mRNA,cpbgf_2001920,Uncharacterized protein,cgd2_1920,direct_name,
CP141119.1,lnc_RNA,400241,403586,-,ncRNA,cpbgf_2001945,lncRNA,None,None,
CP141119.1,mRNA,401256,402319,+,mRNA,cpbgf_2001930,RmlC-like cupin domain containing protein,cgd2_1930,direct_name,
CP141119.1,mRNA,402694,403527,+,mRNA,cpbgf_2001940,RAB6 protein,cgd2_1940,direct_name,
CP141119.1,mRNA,403646,405753,+,mRNA,cpbgf_2001950,PHD/MIZ domain containing protein,cgd2_1950,direct_name,
CP141119.1,mRNA,405759,408251,-,mRNA,cpbgf_2001960,Mitogen-activated protein kinase,cgd2_1960,direct_name,
CP141119.1,mRNA,408447,412361,-,mRNA,cpbgf_2001970,Uncharacterized protein,cgd2_1970,direct_name,
CP141119.1,mRNA,412457,413772,+,mRNA,cpbgf_2001980,Uncharacterized protein,cgd2_1980,direct_name,
CP141119.1,mRNA,413748,414524,-,mRNA,cpbgf_2001990,Golgi SNAP receptor complex subunit 1,cgd2_1990,direct_name,
CP141119.1,mRNA,414550,415775,-,mRNA,cpbgf_2002000,signal peptide/transmembrane domain containing protein,cgd2_2000,direct_name,
CP141119.1,lnc_RNA,415491,416829,+,ncRNA,cpbgf_2002005,lncRNA,None,None,
CP141119.1,mRNA,415971,416851,-,mRNA,cpbgf_2002010,EF-hand domain containing protein,cgd2_2010,direct_name,
CP141119.1,mRNA,416899,417713,-,mRNA,cpbgf_2002020,Uncharacterized protein,cgd2_2020,direct_name,
CP141119.1,mRNA,417748,418544,+,mRNA,cpbgf_2002030,Uncharacterized protein,cgd2_2030,direct_name,
CP141119.1,mRNA,418470,419725,-,mRNA,cpbgf_2002040,Armadillo-type fold protein,cgd2_2040,direct_name,
CP141119.1,mRNA,420239,421191,-,mRNA,cpbgf_2002050,Proteasome subunit alpha type,cgd2_2050,direct_name,
CP141119.1,mRNA,421612,423848,+,mRNA,cpbgf_2002060,transcription factor TFIIH,cgd2_2060,direct_name,
CP141119.1,mRNA,423790,425472,-,mRNA,cpbgf_2002070,Translation elongation factor EF-1 subunit alpha,cgd2_2070,direct_name,
CP141119.1,mRNA,425570,426681,-,mRNA,cpbgf_2002080,Armadillo-type fold protein,cgd2_2080,direct_name,
CP141119.1,mRNA,426744,430163,+,mRNA,cpbgf_2002090,Mitotic control protein dis3,cgd2_2090,direct_name,
CP141119.1,mRNA,430078,430806,-,mRNA,cpbgf_2002100,Uncharacterized protein,cgd2_2100,direct_name,
CP141119.1,mRNA,431081,431788,-,mRNA,cpbgf_2002110,Uncharacterized protein,cgd2_2110,direct_name,
CP141119.1,mRNA,432115,432402,+,mRNA,cpbgf_2002120,High mobility group box domain containing protein,cgd2_2120,direct_name,
CP141119.1,mRNA,432428,437018,-,mRNA,cpbgf_2002130,ATP-dependent 6-phosphofructokinase,cgd2_2130,direct_name,
CP141119.1,mRNA,437428,442884,+,mRNA,cpbgf_2002140,Uncharacterized protein,cgd2_2140,direct_name,
CP141119.1,mRNA,441702,443334,-,mRNA,cpbgf_2002150,Uncharacterized protein,cgd2_2150,direct_name,
CP141119.1,mRNA,442901,446649,-,mRNA,cpbgf_2002160,ER membrane protein complex subunit 1,cgd2_2160,direct_name,
CP141119.1,mRNA,446295,448135,-,mRNA,cpbgf_2002170,Nucleolar GTP-binding protein 2,cgd2_2170,direct_name,
CP141119.1,mRNA,448309,448729,-,mRNA,cpbgf_2002180,Uncharacterized protein,cgd2_2180,direct_name,
CP141119.1,mRNA,448750,450135,-,mRNA,cpbgf_2002190,DHHC palmitoyltransferase,cgd2_2190,direct_name,
CP141119.1,lnc_RNA,450214,451250,+,ncRNA,cpbgf_2002205,lncRNA,None,None,
CP141119.1,mRNA,450273,450975,-,mRNA,cpbgf_2002200,Ribosomal protein L37,cgd2_2200,direct_name,
CP141119.1,mRNA,451211,452524,-,mRNA,cpbgf_2002210,Proteasome regulatory subunit Rpn7/26S proteasome subunit 6,cgd2_2210,direct_name,
CP141119.1,lnc_RNA,451246,452099,+,ncRNA,cpbgf_2002207,lncRNA,None,None,
CP141119.1,mRNA,452626,453875,+,mRNA,cpbgf_2002220,Uncharacterized protein,cgd2_2220,direct_name,
CP141119.1,mRNA,453689,456285,-,mRNA,cpbgf_2002230,Uncharacterized protein,cgd2_2230,direct_name,
CP141119.1,mRNA,456376,459098,+,mRNA,cpbgf_2002250,Retrieval of early ER protein Rer1,cgd2_2250,direct_name,
CP141119.1,mRNA,456379,459038,-,mRNA,cpbgf_2002240,Uncharacterized protein,cgd2_2240,direct_name,
CP141119.1,mRNA,459046,461357,+,mRNA,cpbgf_2002260,Zuotin related factor-1 like protein with DNAJ and SANT domain,cgd2_2260,direct_name,
CP141119.1,mRNA,460193,462397,-,mRNA,cpbgf_2002270,Uncharacterized protein,cgd2_2270,direct_name,
CP141119.1,mRNA,462411,464207,-,mRNA,cpbgf_2002280,Pp2c protein phosphatase 2C,cgd2_2280,direct_name,
CP141119.1,lnc_RNA,462433,463588,+,ncRNA,cpbgf_2002275,lncRNA,None,None,
CP141119.1,mRNA,464261,465392,-,mRNA,cpbgf_2002290,Cyclin 6 pcl7,cgd2_2290,direct_name,
CP141119.1,mRNA,465458,467296,+,mRNA,cpbgf_2002300,Glutamate/acetylglutamate kinase,cgd2_2300,direct_name,
CP141119.1,mRNA,467296,468976,+,mRNA,cpbgf_2002310,Ser/Thr protein kinase,cgd2_2310,direct_name,
CP141119.1,mRNA,469125,476090,+,mRNA,cpbgf_2002320,C2 domain containing protein,cgd2_2320,direct_name,
CP141119.1,lnc_RNA,472664,474199,-,ncRNA,cpbgf_2002315,lncRNA,None,None,
CP141119.1,mRNA,474237,476130,+,mRNA,cpbgf_2002330,Uncharacterized protein,cgd2_2330,direct_name,
CP141119.1,mRNA,474773,479989,-,mRNA,cpbgf_2002340,R1 like alpha-glucan water dikinase,cgd2_2340,direct_name,
CP141119.1,mRNA,480040,484436,+,mRNA,cpbgf_2002350,MA3 domain containing protein,cgd2_2350,direct_name,
CP141119.1,mRNA,482005,487953,-,mRNA,cpbgf_2002360,Dop1p family protein,cgd2_2360,direct_name,
CP141119.1,mRNA,488074,489302,+,mRNA,cpbgf_2002370,Uncharacterized protein,cgd2_2370,direct_name,
CP141119.1,mRNA,489229,490386,+,mRNA,cpbgf_2002380,Uncharacterized protein,cgd2_2380,direct_name,
CP141119.1,mRNA,490131,491500,-,mRNA,cpbgf_2002390,Uncharacterized protein,cgd2_2390,direct_name,
CP141119.1,lnc_RNA,490299,491408,+,ncRNA,cpbgf_2002385,lncRNA,None,None,
CP141119.1,mRNA,491528,496877,+,mRNA,cpbgf_2002410,hypothetical protein,cgd2_2410,direct_name,
CP141119.1,lnc_RNA,492075,495524,-,ncRNA,cpbgf_2002395,lncRNA,None,None,
CP141119.1,mRNA,494516,496470,-,mRNA,cpbgf_2002400,SSM4 like RING finger protein,cgd2_2400,direct_name,
CP141119.1,mRNA,495720,498182,-,mRNA,cpbgf_2002420,RNA pseudouridylate synthase,cgd2_2420,direct_name,
CP141119.1,mRNA,497838,498984,+,mRNA,cpbgf_2002430,Impact family with RWD domain,cgd2_2430,direct_name,
CP141119.1,mRNA,498860,499341,-,mRNA,cpbgf_2002440,Trm112p-like protein,cgd2_2440,direct_name,
CP141119.1,mRNA,499475,500280,+,mRNA,cpbgf_2002450,Uncharacterized protein,cgd2_2450,direct_name,
CP141119.1,mRNA,499993,500781,-,mRNA,cpbgf_2002460,Uncharacterized protein,cgd2_2460,direct_name,
CP141119.1,mRNA,500855,501559,-,mRNA,cpbgf_2002470,Uncharacterized protein,cgd2_2470,direct_name,
CP141119.1,mRNA,501897,503530,+,mRNA,cpbgf_2002480,Methionine aminopeptidase 2,cgd2_2480,direct_name,
CP141119.1,lnc_RNA,503474,504003,-,ncRNA,cpbgf_2002483,lncRNA,None,None,
CP141119.1,lnc_RNA,504030,505046,+,ncRNA,cpbgf_2002485,lncRNA,None,None,
CP141119.1,mRNA,504643,505587,-,mRNA,cpbgf_2002490,Uncharacterized protein,cgd2_2490,direct_name,
CP141119.1,mRNA,505664,507874,+,mRNA,cpbgf_2002500,DNA polymerase alpha/epsilon subunit B,cgd2_2500,direct_name,
CP141119.1,mRNA,506613,509801,-,mRNA,cpbgf_2002510,Glucose-methanol-choline oxidoreductase,cgd2_2510,direct_name,
CP141119.1,mRNA,509878,510819,-,mRNA,cpbgf_2002520,Uncharacterized protein,cgd2_2520,direct_name,
CP141119.1,mRNA,510861,511897,+,mRNA,cpbgf_2002523,Uncharacterized protein,cgd2_2523,direct_name,
CP141119.1,mRNA,511929,513397,+,mRNA,cpbgf_2002530,Uncharacterized protein,cgd2_2530,direct_name,
CP141119.1,mRNA,513416,514064,+,mRNA,cpbgf_2002535,Uncharacterized protein,cgd2_2533,no_direct_name,consistency
CP141119.1,lnc_RNA,513666,514034,-,ncRNA,cpbgf_2002533,lncRNA,None,None,
CP141119.1,mRNA,514071,514439,+,mRNA,cpbgf_2002540,Glutaredoxin,cgd2_2540,direct_name,
CP141119.1,lnc_RNA,514078,514521,-,ncRNA,cpbgf_2002545,lncRNA,None,None,
CP141119.1,mRNA,514649,521232,+,mRNA,cpbgf_2002550,Uncharacterized protein,cgd2_2550,direct_name,
CP141119.1,mRNA,521586,524477,-,mRNA,cpbgf_2002560,Uncharacterized protein,cgd2_2560,direct_name,
CP141119.1,lnc_RNA,524330,525304,+,ncRNA,cpbgf_2002565,lncRNA,None,None,
CP141119.1,mRNA,524636,525352,-,mRNA,cpbgf_2002570,Uncharacterized protein,cgd2_2570,direct_name,
CP141119.1,mRNA,525650,532776,+,mRNA,cpbgf_2002590,Uncharacterized protein,cgd2_2590,direct_name,
CP141119.1,lnc_RNA,525862,526901,-,ncRNA,cpbgf_2002575,lncRNA,None,None,
CP141119.1,mRNA,532577,534191,-,mRNA,cpbgf_2002600,Uncharacterized protein,cgd2_2600,direct_name,
CP141119.1,lnc_RNA,534238,535437,+,ncRNA,cpbgf_2002605,lncRNA,None,None,
CP141119.1,mRNA,534280,542579,-,mRNA,cpbgf_2002610,Secreted GGC gene family protein,cgd2_2610,direct_name,
CP141119.1,lnc_RNA,541036,542504,+,ncRNA,cpbgf_2002607,lncRNA,None,None,
CP141119.1,mRNA,542635,544628,+,mRNA,cpbgf_2002620,Uncharacterized protein,cgd2_2620,direct_name,
CP141119.1,lnc_RNA,543149,546938,-,ncRNA,cpbgf_2002635,lncRNA,None,None,
CP141119.1,mRNA,544685,546913,+,mRNA,cpbgf_2002630,Uncharacterized protein,cgd2_2630,direct_name,
CP141119.1,mRNA,547040,547683,+,mRNA,cpbgf_2002640,Uncharacterized protein,cgd2_2640,direct_name,
CP141119.1,lnc_RNA,547616,551281,-,ncRNA,cpbgf_2002665,lncRNA,None,None,
CP141119.1,mRNA,548112,549494,+,mRNA,cpbgf_2002650,Uncharacterized protein,cgd2_2650,direct_name,
CP141119.1,mRNA,549557,551046,+,mRNA,cpbgf_2002660,UDP N-acetylglucosamine transporter-like nucleotide sugar transporter,cgd2_2660,direct_name,
CP141119.1,mRNA,551386,552790,+,mRNA,cpbgf_2002670,UDP N-acetylglucosamine transporter-like nucleotide sugar transporter,cgd2_2670,direct_name,
CP141119.1,mRNA,552755,557442,-,mRNA,cpbgf_2002680,cation transport Atpase,cgd2_2680,direct_name,
CP141119.1,mRNA,557380,558552,+,mRNA,cpbgf_2002690,Bromodomain containing protein,cgd2_2690,direct_name,
CP141119.1,mRNA,558758,560568,+,mRNA,cpbgf_2002700,Brf1p like coiled coil protein,cgd2_2700,direct_name,
CP141119.1,mRNA,560545,562414,-,mRNA,cpbgf_2002710,RNA methyltransferase TrmA-like protein,cgd2_2710,direct_name,
CP141119.1,mRNA,562512,566243,+,mRNA,cpbgf_2002720,ARM repeat containing protein,cgd2_2720,direct_name,
CP141119.1,mRNA,565677,570243,-,mRNA,cpbgf_2002730,Po1 beta superfamily nucleotidyltransferase,cgd2_2730,direct_name,
CP141119.1,mRNA,570360,573502,+,mRNA,cpbgf_2002740,Mitochondrial matrix Mmp37,cgd2_2740,direct_name,
CP141119.1,mRNA,572250,576387,-,mRNA,cpbgf_2002750,Structural maintenance of chromosomes protein,cgd2_2750,direct_name,
CP141119.1,mRNA,576540,578845,+,mRNA,cpbgf_2002760,insulinase-like peptidase,cgd2_2760,direct_name,
CP141119.1,mRNA,578964,585548,-,mRNA,cpbgf_2002770,U5 small nuclear ribonucleoprotein 200kDA helicase/Pre-mRNA splicing helicase BRR2 2,cgd2_2770,direct_name,
CP141119.1,lnc_RNA,579550,584083,+,ncRNA,cpbgf_2002765,lncRNA,None,None,
CP141119.1,mRNA,585955,587243,+,mRNA,cpbgf_2002780,dCMP deaminase,cgd2_2780,direct_name,
CP141119.1,mRNA,587168,588327,-,mRNA,cpbgf_2002790,ZC3H15/TMA46 family C-terminal domain containing protein,cgd2_2790,direct_name,
CP141119.1,lnc_RNA,588380,589825,+,ncRNA,cpbgf_2002805,lncRNA,None,None,
CP141119.1,mRNA,588538,589432,-,mRNA,cpbgf_2002800,THUMP RNA binding domain containing protein,cgd2_2800,direct_name,
CP141119.1,mRNA,589433,590502,-,mRNA,cpbgf_2002810,mRNA splicing factor SYF2,cgd2_2810,direct_name,
CP141119.1,mRNA,590368,592036,+,mRNA,cpbgf_2002820,Spt4/RpoE2 zinc finger,cgd2_2820,direct_name,
CP141119.1,mRNA,590720,592164,-,mRNA,cpbgf_2002830,Coenzyme Q3/methyltransferase,cgd2_2830,direct_name,
CP141119.1,mRNA,592245,595682,-,mRNA,cpbgf_2002840,Pleckstrin homology domain containing protein,cgd2_2840,direct_name,
