geneID,sex,group,description,notes,,,,,,,,,,
cgd6_2100,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, large protein ",,,,,,,,,,
cgd6_300,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd8_1390,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd6_3460,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, large protein ",,,,,,,,,,
cgd2_1890,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd4_1880,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, large protein ",,,,,,,,,,
cgd4_3700,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd1_1400,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, large protein ",,,,,,,,,,
cgd8_1960,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, medium protein",,,,,,,,,,
cgd8_2763,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, small protein",,,,,,,,,,
cgd7_2820,female,Proteins without Identifiable Features,Uncharacterized protein,"No signal peptide or transmembrane domain, large protein ",,,,,,,,,,
cgd6_2250,male,Transcription and RNA ,Myb-like DNA-binding domain containing protein,Myb domain DNA binding protein. Myb-M (this study),,,,,,,,,,
cgd5_1380,male,Transcription and RNA ,Zinc finger C3H1-type domain containing protein,F11M21.28-like 3 CCCH RNA binding domain protein involved in RNA metabolism,,,,,,,,,,
cgd5_1830,male,Transcription and RNA ,Zinc finger C3H1-type domain containing protein,F11M21.28-like 3 CCCH RNA binding domain protein involved in RNA metabolism,,,,,,,,,,
cgd5_2870,male,Transcription and RNA ,Zinc finger C3H1-type domain containing protein,F11M21.28-like 3 CCCH RNA binding domain protein involved in RNA metabolism,,,,,,,,,,
cgd3_2970,male,Transcription and RNA ,Uncharacterized protein,Predicted AP2 transcription factor. Larger protein with a SET domain,,,,,,,,,,
cgd6_2670,male,Transcription and RNA ,Uncharacterized protein,"AP2-M, experimentally validated as male in C. parvum",,,,,,,,,,
cgd2_1270,male,Signaling,Membrane associated adenylyl cyclase,"Signalling component, potentially associated with egress, motility, or chemotaxis",,,,,,,,,,
cgd6_4020,male,Signaling,3'5'-cyclic nucleotide phosphodiesterase,Phosphodiesterase with 3 transmembrane spans towards the N term and the enzyme domain at the C term,,,,,,,,,,
cgd1_2980,male,Signaling,14-3-3 protein,"Adaptor proteins that act as regulators, binding often induced by ser/thre phosphorylation",,,,,,,,,,
cgd7_2470,male,Signaling,14-3-3 domain containing protein,"Adaptor proteins that act as regulators, binding often induced by ser/thre phosphorylation",,,,,,,,,,
cgd8_5323,male,Signaling,Serine/threonine-protein kinase,Putative protein kinase,,,,,,,,,,
cgd4_3240,male,Signaling,unspecified product,"NLI interacting factor-like phosphatase family, or HAD domains",,,,,,,,,,
cgd5_2510,male,Cell cycle,Serine/threonine-protein kinase,Cdc2-like protein kinase,,,,,,,,,,
cgd7_2490,male,Cell cycle,Cyclin,Cyclin,,,,,,,,,,
cgd7_660,male,Cell cycle,Cyclin-like protein,Cyclin possible cyclin A,,,,,,,,,,
cgd8_2180,male,Cell cycle,Serine/Threonine protein kinase,"Kinase, maybe NEK1",,,,,,,,,,
cgd8_2220,male,Secretory Proteins,Male gamete fusion factor,"HAP2, experimentally validated as male in C. parvum",,,,,,,,,,
cgd3_720,male,Secretory Proteins,Mucin,Very large secretory protein with many threonine residues. Likely O-glycosylated,,,,,,,,,,
cgd2_2610,male,Secretory Proteins,Secreted GGC gene family protein,GGC protein with signal peptide (unique to Cryptosporidium and all species have 4 of these),,,,,,,,,,
cgd5_3570,male,Secretory Proteins,Secreted GGC gene family protein,GGC protein with signal peptide,,,,,,,,,,
cgd7_5500,male,Secretory Proteins,Secreted GGC gene family protein,"GGC protein with signal peptide, GGC1 (this study)",,,,,,,,,,
cgd8_1740,male,Secretory Proteins,Secreted GGC gene family protein,GGC protein with signal peptide,,,,,,,,,,
cgd3_1130,male,Secretory Proteins,Uncharacterized protein,Smaller protein with signal peptide,,,,,,,,,,
cgd3_1830,male,Secretory Proteins,Uncharacterized protein,Larger secretory protein with signal peptide,,,,,,,,,,
cgd3_3550,male,Secretory Proteins,Trimeric LpxA-like protein,"Larger secretory protein with LPX-A like domain and some clear alphafold domains. The bacterial enzymes are transferases, often glycosyl transferases",,,,,,,,,,
cgd3_90,male,Secretory Proteins,Uncharacterized protein,Large secretory protein ,,,,,,,,,,
cgd6_4010,male,Secretory Proteins,Uncharacterized protein,Small secretory protein,,,,,,,,,,
cgd4_3870,male,Secretory Proteins,Uncharacterized protein,"Very large likely secretory protein (recessed SP), unique to Cryptosporidium",,,,,,,,,,
cgd4_4380,male,Secretory Proteins,Uncharacterized protein,Smalller secretory protein,,,,,,,,,,
cgd2_2850,male,Secretory Proteins,Uncharacterized protein,Smaller protein with signal peptide,,,,,,,,,,
cgd1_1260,male,Secretory Proteins,Uncharacterized protein,Smaller protein with signal peptide,,,,,,,,,,
cgd5_2680,male,Membrane Proteins,Uncharacterized protein,"Secretory protein with 5 transmembrane domains (2 toward N-term, 3 towards C-term)",,,,,,,,,,
cgd7_1240,male,Membrane Proteins,Uncharacterized protein,Smaller protein with recessed signal peptide or N-terminal transmembrane span,,,,,,,,,,
cgd8_2310,male,Membrane Proteins,Uncharacterized protein,Smaller protein with 4 transmembrane spans (First could potentially serve as signal peptide),,,,,,,,,,
cgd6_3060,male,Membrane Proteins,Uncharacterized protein,"Small protein with a central transmembrane span, or a very short protein with a recessed signal peptide",,,,,,,,,,
cgd6_380,male,Membrane Proteins,Golgi apparatus membrane protein TVP15,Small protein with 4 transmembrane spans. Similarity to COP components.,,,,,,,,,,
cgd3_680,male,Proteases & other Enzymes,Papain family cysteine protease,"Papain protease, no signal peptide",,,,,,,,,,
cgd6_900,male,Proteases & other Enzymes,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2","Cysteine protease, no signal peptide",,,,,,,,,,
cgd1_720,male,Proteases & other Enzymes,HAD-like domain containing protein,Protein with conserved domain that is fused in vertebrates to neuralized domain repeats. Neuralized in Drosophila is a ubiquitin ligase.,,,,,,,,,,
cgd5_910,male,Proteases & other Enzymes,Uncharacterized protein,Protein with conserved domain that is fused in vertebrates to neuralized domain repeats. Neuralized in Drosophila is a ubiquitin ligase.,,,,,,,,,,
cgd8_2970,male,Proteases & other Enzymes,Glutathione S-transferase,Glutathione S-transferase. Note that in mammalian sperm GST is required for head decondensation and that another GST cgd is expressed in later female gametes (cgd7_4780).,,,,,,,,,,
cgd3_3130,male,Proteins with Binding & Interacting domains,Uncharacterized protein with Armadillo-type fold,"Medium sized protein with central armadillo fold, ARM proteins have many functions including cytoskeleton, chaperone,  invasion and motility , also there is an ARM protein needed for rhoptry placement & biogenesis in T. gondii",,,,,,,,,,
cgd3_520,male,Proteins with Binding & Interacting domains,PAN/Apple domain containing protein,"PAN/Apple domain, binding domains found in certain proteases, protein and glycan binding, no signal peptide",,,,,,,,,,
cgd6_5160,male,Proteins with Binding & Interacting domains,Microtubule-binding calmodulin-regulated spectrin-associated protein,CKK domain-containing protein,,,,,,,,,,
cgd2_1380,male,Proteins without Identifiable Features,Uncharacterized protein,Smaller protein without any clear featuers,,,,,,,,,,
cgd3_1100,male,Proteins without Identifiable Features,Uncharacterized protein,Medium sized no clear features,,,,,,,,,,
cgd3_3050,male,Proteins without Identifiable Features,Uncharacterized protein,Smaller protein without any clear featuers,,,,,,,,,,
cgd3_3450,male,Proteins without Identifiable Features,Uncharacterized protein,Smaller protein without any clear featuers,,,,,,,,,,
cgd5_1510,male,Proteins without Identifiable Features,Uncharacterized protein,Larger protein without structural features,,,,,,,,,,
cgd6_4090,male,Proteins without Identifiable Features,Uncharacterized protein,Smaller protein without any clear featuers,,,,,,,,,,
cgd1_1150,male,Proteins without Identifiable Features,Uncharacterized protein,Very short protein without any clear features,,,,,,,,,,
